read,pool,length,PC1,PC2,cluster
005bbb8f-f302-4cae-831e-198ab22feb26,260526-MBTA_Da-NAS-P1,3682,0.002826737393650528,0.013745447899222918,0
005c8568-af32-4298-bd90-b49926fac7aa,260526-MBTA_Da-NAS-P1,5624,0.0014988292344153883,-0.002945238050455438,1
005cf478-c43d-4aa4-bc60-2a4a508e8eae,260526-MBTA_Da-NAS-P1,3823,0.0018335216927198566,-0.005889698010324226,1
005cfb9d-bb11-4af1-94f9-1f02c1790c82,260526-MBTA_Da-NAS-P1,4430,-0.0005015202961617666,-0.0033356242995511098,1
005e06eb-798f-4b9d-b211-8d9d68b7d5e8,260526-MBTA_Da-NAS-P1,2624,-0.003529310023676883,-0.006047170115860288,1
005e9bdf-a724-42a3-bad4-626b6d1b1318,260526-MBTA_Da-NAS-P1,5998,0.0007310977432639703,-0.0021405292972086023,1
005f3a91-7c38-49a1-9224-3018e8dc5d83,260526-MBTA_Da-NAS-P1,3303,-0.010752099499545833,-0.0018091569443441642,3
0063427a-668a-4495-807f-4e52bab292af,260526-MBTA_Da-NAS-P1,2993,0.0012718981413103675,-0.007361785622151699,1
0064eadc-f685-424a-a566-c6ca4c6d9ef3,260526-MBTA_Da-NAS-P1,3482,-0.0027564146576175234,0.004586224818931968,4
00650e51-061a-4943-91b3-8a930ffa21ae,260526-MBTA_Da-NAS-P1,3274,0.010825618455180484,-0.004913674599204167,2
00664c54-e087-43ed-80b0-f660eae7c6cf,260526-MBTA_Da-NAS-P1,2730,-0.008329445522142397,0.0038392049830665697,4
00672fde-621d-44e7-aac1-c88c5427ccda,260526-MBTA_Da-NAS-P1,1798,0.002399418262407701,-0.007062831035874923,1
00678a0b-325d-4f2f-9331-bc3d2d650d89,260526-MBTA_Da-NAS-P1,4022,-0.0018412400607827097,-0.0020968611734706335,1
00689df4-796d-4a22-b090-7b7537b1ca9d,260526-MBTA_Da-NAS-P1,2883,0.010272754908897416,-6.255635058669213e-05,2
0068abef-9b84-4de2-bc07-fc996c76617b,260526-MBTA_Da-NAS-P1,3186,0.00854260040216631,-0.006353311897828876,2
006996ef-a71f-49d6-a9b9-36d499f565b5,260526-MBTA_Da-NAS-P1,3696,0.0024688463881442843,0.01524261846441123,0
0069d981-514a-49c6-b785-34723748c3e6,260526-MBTA_Da-NAS-P1,3735,0.0009495514396722134,-0.006166908010970947,1
0069f22b-a793-4cd1-a093-128ea60eeba7,260526-MBTA_Da-NAS-P1,2856,0.0014620183947028215,0.014647844201497843,0
006c1797-270c-4795-8e0c-2daee84ae097,260526-MBTA_Da-NAS-P1,1466,0.008199373724327988,-0.006264512130714894,1
006cd45b-889d-4147-9a2f-98e83a6e1d92,260526-MBTA_Da-NAS-P1,2918,-0.004894584258024655,-0.0047323804247834875,1
006d0a94-02aa-4678-8de6-db0c56cfccfe,260526-MBTA_Da-NAS-P1,3367,0.009821033877749082,-0.004563100425318212,2
006f18b8-0033-47d9-9f96-81bda5ee1311,260526-MBTA_Da-NAS-P1,2326,0.001284351675922165,0.004625065711058772,4
006fccc1-d97f-42f4-95f0-e1e4c548de77,260526-MBTA_Da-NAS-P1,1469,0.002496712650581612,-0.008524680974109845,1
00702a48-187a-43f0-8174-090a462b6d65,260526-MBTA_Da-NAS-P1,3801,0.004927275323623786,-0.005502080792884565,2
00727be9-8af4-479d-8849-8be398387703,260526-MBTA_Da-NAS-P1,4605,0.0008059965936721702,-0.0043071290334930155,1
0072d422-e5c6-4964-8855-d10dc2b2353f,260526-MBTA_Da-NAS-P1,3081,0.001670199925235644,-0.006728587388510418,1
0073ffa4-ffeb-4073-8773-084cfba693ef,260526-MBTA_Da-NAS-P1,2873,0.010346763739015856,-0.0009872307583341437,2
0076c53d-eb0a-4d68-bdd1-ede84ca72baa,260526-MBTA_Da-NAS-P1,1820,-0.00684514568297475,0.006939304050664161,4
00779aa2-f440-41c8-811a-6f1b484cee75,260526-MBTA_Da-NAS-P1,3810,0.005658712205426108,-0.00563669156921769,2
00783df6-3591-4355-b8c6-99b1e6755a39,260526-MBTA_Da-NAS-P1,3943,-0.005692145800616793,0.0038161827059381764,4
